#空格简
b_	所以
ftbl	两限房
jvkc	日本车
ggsg	导购员
jybj	晒单
sfdd	听党指挥
ymjk	西三环
ghtg	导医
jffj	就远
mmhf	办公司
vjfw	李天
xkkt	家给
vlhj	格鲁
clkn	原片
cwtk	文化路
kmnh	输局
gqfl	治政
fvyq	彩市
hbdk	北科
dwxo	操作工
gynd	深发展
wbdk	华科
fwgx	天鸿
xdkt	审批表
nkkv	策划部
jfgg	孙涛
rbgn	增购
dbvm	报检
kjrk	美特斯邦威
xdnd	工程局
gskq	滑县
ppvh	黄村
dbhr	紫装
bwwk	郑大
kvvw	减速机
rrwj	封停
hhhw	设计费
ltmx	唐钢
fhck	小事情
tlmv	陈力
hhfd	弹弹堂
pypy	茜茜
trly	阿斯顿
hbgn	北湖
wkfj	大姚
wkjl	倩碧
qgtw	金水区
yja	西王
xlkv	客服部
ddkv	搅拌站
dcwy	推优
mdqq	三鑫
wlhw	业务费
vmlf	田东
flxo	正式工
ttlk	跑跑卡丁车
ymlc	交通卡
dfpp	搅黄
fhkq	盂县
nwwb	类化
fyfu	小魔女
ldgq	驻澳
kvgc	新源
cptd	罐区
hhtj	鲅鱼圈
vjvf	李兵
tlgh	陈艳
fdjv	裂了
ggcj	清洗剂
wwwd	作风优良
wjjk	大孩子
ndcv	数据集
dmkh	良乡
ldsk	驱护舰
smhl	颇让
pjqk	莫向
xkpt	直邮
jnkq	易县
wpyx	凤岗
fgbj	采购单
fkwv	小套
xvgi	里水
fwgp	天泽
nnwk	屡传
tjtx	四院
hphw	过节费
wyfg	仁者见仁智者见智
yqbj	配置单
xklk	工资条
qdbj	金税
gwvv	酒仙桥
dqhh	技能书
pkgn	莲湖
tttx	区医院
njhr	焊装
ybsl	旁氏
qdvh	罗村
ddyy	扯出
xvdm	内布拉斯加
fjxf	光宇
kvfy	连州
kvjw	立显
shnr	口调
vvfu	森女
ddgx	垫江
xmkq	容县
tqdc	建外
wlkv	供应部
gkcs	水站
fcss	采集器
tljy	陈瑞
dfkq	魏县
msbw	加送
mswm	会员价
lcdg	店招
wlhw	信息费
mwqi	钛金
vsxl	速攻
vcwv	思达
wktw	使馆区
dtlv	抠鼻
xxgd	南汽
fgrk	天河城
cfgc	恒源
qgnl	金湖
ykkf	反病毒
kbnt	凝露
svtk	听障
cjgt	百汇
vmno	枪火
xxfh	空少
tcbq	四点半
ybgh	商河
dxmy	押镖
cgth	刘君
xpnd	德莱尼
pvht	艺术系
vjfe	李正
xdpd	网申
xjkj	字牌
tkgn	团结湖
xdtj	赛拉图
htgc	危险源
kljf	纯玩
fhbw	爱普
lyxx	胶南
yxvv	六里桥
ypxf	配电室
sksn	吃不吃
fxrr	正街
xvvl	里格
dmkk	拴着
cjjr	百特
rfrf	耍耍
dmdd	多边主义
fwpr	天圣
gynk	滚粗
ghyd	汤山
ssws	品保
hvvv	哥布林
dcnx	外管
fdje	妹儿
gxdl	法工委
mjmg	全分
wbkv	华立
tnly	阿克顿
jtls	碧欧泉
fjgc	乳源
kdpx	斗破苍穹
rxjx	填制
rhno	地火
txtt	合家团圆
mfgx	通江
wvlc	健身卡
knjj	二选
kpfk	绿茶婊
gqfs	治吏
jltk	玉泉路
vrxn	本地网
njvw	焊机
pdrj	菲拉斯
bcfn	惠来
tjkg	国纪
jbgk	闽清
gvnw	沙巴克
nfjr	复兴门
nyhw	筑巢引凤
kdnr	连接数
djxx	提行
dsfq	名爵
fynt	小老鼠
jptl	暴降
vxxn	校内网
tqwt	建邺
ckkv	餐饮部
rbnf	赫敏
mxlc	镇店
gpxx	汉南
fkrk	至境
kghp	泰诺
hrmv	以其人之道还治其人之身
jggy	玉渊潭
vvyh	梦龙
lwvp	股友
xvkg	宏泰
fkvk	一级棒
khpw	成也萧何败也萧何
wgcn	大海战
gldk	民科
nlpd	断肠草
kmkf	纵线
kfrr	线面
fmks	女人缘
rryk	虎虎生威
bfbk	卫兰
ydwv	岩体
ygcs	配点
sxhw	手工费
nssl	够吗
pwnx	干管
rvvb	土桥
fsfk	小叮当
dtme	砸人
tjqd	阳逻
tlpd	陈莉
xljk	鸭脖子
nmyd	笔架山
fngw	一笑泯恩仇
tlcc	陈辰
vjpt	槐荫
fffd	好姑娘
vdkg	攀冰
fwsn	小猫咪
xdrc	网志
jfyj	玩酷
ywbj	发货单
llyi	卡卡西
vdrj	杜勒斯
rgwv	坝体
sjmf	贸易通
kktl	头痛医头脚痛医脚
fkbg	妮维雅
bfny	前无古人后无来者
qwyj	金猪
bhme	肇事人
sfle	拜月
yfsm	麻雀虽小五脏俱全
vshv	杏色
mwhm	八仙过海各显神通
pxhw	邮寄费
vvfd	棒棒堂
thch	建设厅
hbrl	北塘
vmvf	枪兵
nhjj	灯珠
wdny	伊利丹
mtfq	三险一金
kgyh	冰龙
nnwg	居业
srvk	中杯
gslf	邵东
xfmx	安钢
ndfw	霸天
yvrh	巡场
ymmw	西三旗
kbvw	输送机
fyhp	小乌龟
vwgm	枫泾
xbso	街道口
cjlf	百福
bmyr	食人魔
xptl	审图
fsfs	逗逼
lvry	追堵
xjvh	千橡
nme	火人
hnmf	调通
qlrl	黑虎
wyxk	信宜
dmvh	魏公村
hngj	调账
vpgh	横河
wmrh	大钟寺
tmsd	除味
vyrk	板坯
nkhh	策划书
kshp	翔升
mfdx	三天打鱼两天晒网
ylro	西马
dbsc	报号
ypvt	配电柜
qmyc	金三顺
kkgn	鼎湖
ktkt	软饮
kwdf	美援
sqml	吊放
fbyq	彩虹岛
cjss	卤制品
fhww	万事俱备只欠东风
kxkp	红轴
vqpd	布草
xvjj	宏昌
wgwd	大江健三郎
dskv	外联部
prwf	蓝狐
dsnt	种烟
mxvd	钢柱
qgfd	幺妹
gyrg	泼出去的水
bjfv	道高一尺魔高一丈
gltx	民院
txsc	合同号
xhtl	索隆
wpkl	大难不死必有后福
mfmf	愈来愈少
djxl	提额
xmhl	塞翁失马焉知非福
ddnm	石粉
ydvl	岩棉
lhdn	上下九
wknt	傲雪
pbtj	平四
bblw	皆然
fkff	一夫当关万夫莫开
kmxn	轻甲
hrcp	装罐
nkjy	雪纳瑞
gvcf	短斤缺两
gdhd	注浆
qyyf	黑山老妖
fmgp	一分耕耘一分收获
nmnk	粉料
sxvw	舵机
lfxv	东里
cmbr	文人雅士
kssj	麦咖啡
ktyt	素衣
nwkq	古冶
wjgh	风高浪急
djrm	香坊
bhkb	前事不忘后事之师
hsdn	翻手为云覆手为雨
vlsk	略看
qljd	黑白照
fdwv	残体
nxgn	管沟
jdwb	特拉华
vvkt	检查表
dkdk	勤勤
fvjd	彩玉
vvfy	楚州
dfcp	秒懂
dbsg	报关员
kjhf	意解
hqjj	血旺
rdxn	虚拟网
ffjd	妙玉
dlsg	推广员
jkvw	子机
mqpg	乃由
kdym	次氯酸钠
dghh	指导书
ckgh	夏河
xjft	宠物小精灵
pgxf	落案
snwh	吻你
dfpk	研药
wlvv	伯林
wjyd	伏牛山
gfkk	浮着
kfdj	线稿
xfxk	富实
bbdy	螳螂捕蝉黄雀在后
dklv	挪威的森林
hntn	血精灵
kjcs	牌点
gfkt	水元素
wpcw	储蓄罐
vqks	梭织
jfyy	晃出
kwft	美妇
lrdd	望而止步
dkgp	齿轮油
xxxv	南里
fyyq	恶魔岛
hskx	敢斗
wjwb	体制化
mxny	三十年河东三十年河西
jhxk	孔家
mgnr	分灶
hfjl	蟹膏
vwrj	李俊基
ddkx	热缩
nskk	够着
dwdh	名侦探
dckk	郎情妾意
xnkf	官威
sbvj	联查
vxhs	枣强
ncph	霍营
wbxh	华宁
vldx	兵马未动粮草先行
yvkt	考核表
dsgr	破法
ckjn	心物
lwtg	广医
hkbv	事不关己高高挂起
xhyd	定军山
dpfg	杀鸡用牛刀
qwvm	参检
htds	系扣
ddlb	多脂
kxyk	纳雍
pxly	鸡翅膀
rkkv	培新
wbdn	大蛇丸
dtlm	扫腿
nwrl	避风塘
jnvg	果粒橙
gjdu	水玉
dtjr	止回阀
pmkp	茶轴
ydkt	考勤表
xjss	宝器
jklg	环切
knql	维尼熊
djvt	控制柜
lstq	白盒
ldkt	月报表
rlkm	虎眼
qdlr	罗庄
mmmk	坐会
mmss	银翼
gdcb	染剂
vqxn	布甲
kpgy	轴流
svkk	取之不尽用之不竭
jkpt	豪萨
xgdd	贡丸
hkvp	军友
sfvv	航天桥
kthf	软解
wflw	伪政府
gbkm	己所不欲勿施于人
mstj	劲乐团
lgnf	七海
fwgf	瓜洲
phph	蔼蔼
bpxk	疑难重症
hsjj	误选
hvlv	失之东隅收之桑榆
fwje	小曲儿
mkwm	人不犯我我不犯人
yqle	玄月
hvvm	色男
pdth	苟利国家生死以
mkms	镁铝
mhmj	公说公有理婆说婆有理
fxcg	天网恢恢疏而不漏
yjxs	魔宫
dvrp	拆塔
hnxn	军需官
kmgc	眼贴
xjql	野熊
wpjq	佛蒙特
fxtk	万里路
hglh	鱼肠
wfkn	大姐头
ynpk	生煤
gfno	消火
pvmk	鹊桥会
fgfm	融汇贯通
hlbo	象鼻虫
svkt	皮之不存毛将焉附
ntmw	胡图族
kysc	版号
hbrq	费去
yfws	衣来伸手饭来张口
ssks	骶部
gfdp	没一搭
dsdc	多吃多占
klyd	绵山
xxkh	南乡
kkbj	凑单
nkwm	精仿
pbqs	芦台
xlqk	南卡罗来纳
lrfd	白虎堂
nvjk	雷子
fskv	学习部
hkhb	说不说
cvll	厂棚
fspg	好乐迪
lpwv	神达
kfvh	不求有功但求无过
jkbl	子道
vfhd	兵来将挡水来土掩
ryhe	土龙
jcda	晨早
hljg	司马昭之心路人皆知
vwxq	机窗
hkwj	军曹
qjrs	金玉其外败絮其中
mqkw	铺头
hkxm	以产定销
kwfs	头婚
whfk	猛将如云
kxpx	红英
lhdw	月奖
hslj	书中自有颜如玉
dqbm	私益
jnsg	预算员
fmvl	一人之下万人之上
jbvd	鹬蚌相争渔翁得利
vggh	有则改之无则加勉
dhcv	打怵
tfkk	路见不平拔刀相助
xkyd	宜山
psmf	双手剑
hgsl	以智取胜
ggmx	沙湾镇
vvjh	近晚
dfnk	砂层
rxgn	填沟
wwfw	大傻瓜
xcss	密聊
mbvy	铝塑板
lnme	上等人
lkpj	祖墓
wkwq	傻不傻
ytlv	岂因祸福避趋之
vynk	板料
gjwv	账套
klfd	决胜于千里之外
skdp	看摊
vktj	整章建制
dcmm	秘银
sbnh	联属
jkfq	豪爵
khvh	新罕布什尔
gplp	满席
hpjf	龟孙
bmld	蚁力神
dyvv	碎梦
pgvl	落标
qfdj	罡气
vgnv	起雷
hktj	系统图
dsng	名籍
pkvt	电冰柜
bmxk	前人栽树后人乘凉
tmgs	防波
bfjb	师严
fkxt	小妻
jblb	班服
mdpt	父荫
bvxj	养兵千日用兵一时
kmgn	轻淡
nykl	烤麸
wryv	大而言之
hxss	下载器
jlsx	碧叶
gyjd	江山易改本性难移
nnjj	居先
ghrl	河埠
xgdv	遇水搭桥
mkgf	人不知鬼不觉
jktn	高级群
jnpf	牡丹花下死
vstq	敕建
jwpc	阀芯
gmso	沧口
pbbl	平道
sqdx	盘碗
mffc	人无远虑必有近忧
fxlw	婉然
jcwv	长休
cnrf	必居其一
vrfd	有志于此
mxnl	钢炼
njsr	简中
vpbr	树丫
nwkt	类次
jwlx	显式
mrwj	施虐狂
gngs	湖波
vbpj	机关刊物
pmgk	茶渍
vkmf	有线通
nvvw	雨林木风
dgrr	托洛斯基
kfpc	线芯
kxny	红彤
vmxj	栓牢
lflw	应天府
hswy	歌仙
qthh	金团
ktrx	绿墙
gfvg	水妖
djje	石子儿
fjdd	更移
dhvp	探友
xggs	宇智波
fyrb	无赦
djdh	排打
fqyq	万能充
cvlv	懒床
kstw	新手区
dvng	鞠躬尽瘁死而后已
mfrl	坐无虚席
fsty	一叶障目不见泰山
ywwk	反独促统
ngdh	包乘
vgxw	核突
vmbj	核销单
wfpt	倒萨
klxh	静守
bvrh	螺壳
fsbh	互递
sjwd	喝风
jxds	特征提取
clkk	惦着
ghnk	寿眉
pllc	电视卡
lysf	盲聋哑
xxvx	千里之堤溃于蚁穴
fsnv	五雷
mgha	铸下
hhyd	背背山
txxr	袖里乾坤
kffm	感兴
spla	聘上
pyjr	圣西门
tltg	阴翳
ctvw	百足之虫死而不僵
vjwr	查修
gfkn	知无不言言无不尽
wfwv	仨瓜俩枣
rnvf	监本
mhtk	放诸四海而皆准
frhd	小坏蛋
jlvv	晓梦
hhvf	谋事在人成事在天
pgtl	藕合
jhhf	晚妆
tfjj	隙间
fjwh	光像
fwxg	求大同存小异
fmxf	一人得道鸡犬升天
vjyq	近朱者赤近墨者黑
pybl	平交道
fptw	嫁鸡随鸡嫁狗随狗
kcxl	维客
dbvv	报禁
dmwh	扮像
jwmw	长他人志气灭自己威风
gflg	溪泉
pwwm	恭候大驾
smfx	别嫁
cbfj	齐辉
ggsd	婆婆嘴
jvjw	时起时伏
ghjx	河闸
kqgj	悬瀑
nxxj	胡宗宪
rnsf	监印
tdkb	踏步不前
vxhn	左翻
kfhg	经一事长一智
vbms	梯架
ggvc	慧思
ymsg	巡边员
nfvx	繁枝
dmjd	良日
wjdh	倡扬
nsns	尽忠尽职
jfmj	先小人后君子
hbkm	冀盼
hrvt	装框
lfgt	广开财路
nwhh	尽信书不如无书
kqfs	云絮
fdnp	残砖断瓦
cmkk	恨着
yqdb	充磁
ffgg	妥妥贴贴
yhyl	顺我者昌逆我者亡
kqss	辅翼
mtrr	键面
ptcs	邮售
wdlp	爽神
wrvh	何其相似乃尔
jvgn	闲淡
xpkk	审决
kqgf	不能登大雅之堂
ccvk	心心相连
hmds	顶名
nyrb	熵增
krny	冰封雪裹
tgvy	防民之口甚于防川
xnsd	官史
yybb	出出入入
bvbl	所道
lvje	腰板儿
hfjk	詹姆逊
cvje	快板儿
vdgw	攀沿
fnhd	小笨蛋
hdvt	下拉框
lgkq	祀奉
pdng	干打雷
vvxx	朴朴实实
xqvh	窗檐
cvff	卓有远见
bljs	首告
jvjt	明枪易躲暗箭难防
nhyh	克尔凯郭尔
xbdk	得道多助失道寡助
fkmd	一瞬即逝
rlss	虎视耽耽
djdn	捏握
qftm	金无足赤人无完人
hnrh	翻场
dbnt	紫雪
whvm	何极
ghpw	艳花
nnsx	克尽职守
mjfs	锡婚
fvfb	远在天边近在眼前
mhnw	放下屠刀立地成佛
dfjf	抚孤
ybjf	帝京
khpt	乡邮
fnyg	当局者迷旁观者清
fdfy	一石两鸟
pwhd	干蛋
dfrb	乘兴而来败兴而归
mqyi	公西
vbvt	桥归桥路归路
cjjb	百阅
whjl	凡事预则立不预则废
sljy	昏星
xsxl	寥寂
snjs	嘱告
kfsc	眼尖手快
nvxs	笑窝
khmf	盛销
ghpk	涵蕴
yllk	生腻
vcvi	李慎之
sfsf	唯妙唯肖
hdnl	将尉
kvrf	不在其位不谋其政
ktnd	资粮
gmhn	耕翻
qysq	击响
vvbh	桃李遍天下
tsmf	回叙
njxo	管子工
sykj	咬音
ldhn	上推下卸
fmfn	救人一命胜造七级浮屠
dpjn	丸散膏丹
fhfk	天下兴亡匹夫有责
vpgg	横测
pxwd	薰风
ypkl	发绺
ygfd	配列
gwsi	沿习
hdhc	可擦写
gkwn	清儒
gvpj	刀模
pqyq	黄金岛
tjdl	跑了和尚跑不了庙
mdgl	人为财死鸟为食亡
wjbk	曲卷
svtv	听随
dcvx	挤榨
vnch	楼厅
ygqq	乌漆墨黑
xnvm	十年树木百年树人
vbxj	楷字
pkjy	戏闹
gkcm	清隽
ffcf	一好百好
djqs	香台
dhnd	秧歌剧
pgkv	平水韵
xjch	宴厅
khsc	眼急手快
fjff	兴高彩烈
tjft	欠当
wgcv	犯憷
ydnt	山鼠
hmrw	谈锋甚健
hjje	调门儿
gkyj	渐醒
gkjl	清旷
thjx	隐映
lfrt	自天而降
hgkq	承奉
cpwd	怪态
hrjk	诗豪
lbql	胖熊
tsjh	圆晕
lwfj	脑袋瓜儿
xlfh	寓庄于谐
hbhk	谦诚
fyml	一言既出驷马难追
nklg	精切
mdnw	父类
ktkf	素纱
tkpg	跳进黄河洗不清
vvtl	林阴
dfhb	抚背
dqdf	抬步
wffn	俏媚
hjsf	谒拜
khgy	意象派
hkry	弹不虚发
fykf	来者不善善者不来
tdlc	回拨卡
hhgp	弥满
ffwj	妙曲
kylm	绞脸
nwvd	笔述
xfcp	安厝
gdje	刀把儿
chvc	忖思
svmr	呼之即来挥之即去
xgsc	内测号
wbjd	俯首就擒
jpyj	旱魔
kwvf	音信杳无
ddmv	拓边
khpf	瞻观
ldkg	马拉美
gldl	改码
xchk	愚弱
wfpx	仙妮蕾德
wwnr	狄俄尼索斯
gqkk	治绩
xkff	行不更名坐不改姓
nvfd	迷妹
vwhp	机译
tmnn	囚居
pnpn	苞蕾
skdx	吃着碗里瞧着锅里
xfjr	穿堂门
ghxs	水可载舟亦可覆舟
ffsp	逍遥叹
lbrk	脱坯
gffv	淫画
vvwv	棱柱体
fvkv	见木不见林
kysd	绞手
yrkg	老而不死是为贼
ttrh	跑圆场
thjf	阿衰
ybbs	商兑
ppcc	畅畅快快
lrxs	肚囊
vfjk	杰姆逊
ggkg	河海不择细流
kylm	版务
yqvv	鸟林
tbpn	肃敬
ddjj	旮旮旯旯
ffns	觅句
ddvd	义气相投
hkbt	飞归
hrwv	引而伸之
dwkl	桀傲不驯
nywn	炕几
ydwf	巡按使
yldf	收抚
nhdm	灯捻
xndd	官势
tmyf	险峭
njry	故弄虚玄
cjcp	悯惜
lffj	上天无路入地无门
crkj	压韵
yrxh	麻索
fghc	一则以喜一则以惧
bywt	遒健
dddd	氤氤氲氲
bmtm	蠲除
hkpt	失欢
btjw	兼毫
qmnn	黔剧
tlsc	降号
jxkf	闭塞眼睛捉麻雀
frvp	母权
mhjx	三军易得
tfyh	蹈袭
wkmf	俸钱
xkkb	裁编
ckyc	顾盼生情
tcvf	补档
jfhh	衰乱
bsgj	兼听则明偏信则暗
smvs	别趣
wklk	大眼望小眼
nkff	眉头一皱计上心来
lwnn	臭屎
phqc	蒙罩
jhjx	晖映
tvht	陡急
cbfh	憎爱
fqkv	一卧不起
hdrs	疏虞
dyhd	拙舌
bnym	养精畜锐
klkf	络纱
lsld	自吹自捧
gdkk	染丝
jlkh	哀的美敦书
hdpv	疏苗
bllv	煎迫
nsck	炽情
ckhh	缺词
kjln	韵腹
phxk	鸡蛋里找骨头
dfcb	扶正压邪
ctvl	焦国标
vjgh	桃汛
vddw	斥革
hhkh	请将不如激将
yqfx	幽丽
bllv	剪床
dpfk	剩菜残羹
crkl	压而不服
mfbr	钻天入地
lqxd	康帕内拉
mcvg	人心思治
dcbj	秘旨
vvwx	柯林伍德
xpwk	宽狭
yykk	反老还童
ntfs	雪絮
gmdg	耙犁
cshh	战讯
mvwv	退佃
hfth	语群
dvdl	搬起石头打自己的脚
qhgp	幻异
sssx	嘭嚓嚓
ylkk	飘转
fdje	死扣儿
sfwn	听见风就是雨
vvnd	兵在精而不在多
mywy	众醉独醒
jhdk	鬼计多端
nfxg	灼见真知
xnkf	官纱
lfje	脑瓜儿
dnvq	搌布
djmp	势孤力薄
nyvj	屈枉
plfn	散灭
schs	丑诋
drkm	挂级
hhcm	冤恨
fhkx	当刮目相待
wvgc	偎贴
sbmd	唯所欲为
wvlj	仗胆
whkk	狄尔泰
sbkl	联绵
sysk	咄嗟
dsgc	披沥
rhkd	临危不挠
dgfg	捉贼见赃
ntpv	答茬
npph	迷蒙蒙
wyml	毛发耸然
xfbl	冒尖户
mjxd	锄暴安良
ccgg	懒懒洋洋
sbkr	嗔拳不打笑面
cmbf	性命关天
pwfc	花雀
nvkg	雾起云涌
ytfn	禀见
cjkl	百星不如一月
qmyb	金镑
dldp	掂掇
dmhn	勒诈
nmgy	迷途知反
mlgc	放赈
kdjj	意气高昂
ghdh	淫辞秽语
wgfw	作浪兴风
lmje	脖颈儿
pyxk	茁实
ctfg	辱国殃民
hmvd	急公近利
thfw	匡谬正俗
hfsc	舌尖口快
yklh	乌头白马生角
klmx	进禄加官
fssg	一口吸尽西江水
dwfk	披毛求疵
frkn	当面输心背面笑
tpkq	跌荡不羁
fmss	一命鸣呼
wmwd	假人假义
nwyk	昼伏夜动
gfkf	深恶痛嫉
vvtd	趋权附势
dmwp	郎猫
hjws	识时达变
ngkk	炊沙成饭
glfn	贻臭万年
brje	扇面儿
btcm	歉仄
dhpj	招事惹非
ghls	淆乱视听
xbdk	里比多
mdga	三刀
hksm	买啥
kkxj	凑字
yybk	出卷
tjwj	四件
nfkw	数头
gyld	水票
kxwn	二十几
sksv	听不听
nfnn	第一册
lwss	东风吹马耳
ljbj	七班
mdbp	三瓶
mrjw	个高
jwnb	亮屏
vpnd	友尽
tjnb	四篇
cvlb	懒驴
dvbj	拆单
vgcj	超慢
nmnd	第八届
qfwx	幅值
cvks	懒癌
dppk	搭戏
vskc	整站
vlkk	标着
gwhc	没谁
lvfs	肥妞
prlv	蓝条
hnwy	调优
vflg	躺赢
fwjw	小狼毫
nkcv	第二集
mdbj	领旨
nfnd	第五届
nylk	第六条
nnrg	雨露均沾
xxfx	朝里无人莫做官
stsn	嗯呢
nfmg	数页
ntcv	第四集
gklp	沉着应对
rmjf	城会玩
dddk	拼多多
mhhh	会议强调
kvxv	细思恐极
kmxq	二人同心其利断金
ddwj	扫描件
hsln	书中自有黄金屋
djpx	拔了萝卜地皮宽
bwdl	卫健委
fcwl	好心做了驴肝肺
swgf	中华民族伟大复兴
sfdy	中小投资者
skmw	中青旅
lmdp	社会主义核心价值观
txnf	国内需求
spss	中共中央政治局委员
ddbf	多措并举
wlkt	信息表
ckrk	世纪城
cnpw	刘炽平
xkkv	网络部
wwtw	作业区
ywqi	质保金
jwhw	制作费
fwwk	爱仕达
ktmv	综合办
mgdt	银河护卫队
pvvj	花样男子
qlyg	黑白配
jcsg	星辰变
hrlf	张志东
gghf	导游证
mhhw	通讯费
ykxx	凯立德
xhsc	赛尔号
wkhk	侠盗飞车
xmmf	安全锁
msdk	会员名
llhj	自然语言处理
dpkt	推荐表
xytk	宜山路
xhgt	朝鲜民主主义人民共和国
dcbl	主厂房
xfpm	安娜苏
mwwy	通达信
nqfw	烟台万华
lybj	验收单
qvjj	奥格瑞玛
fchk	小情歌
cxmk	文字链
wvfh	大兵小将
nybj	签收单
vkxk	格斗家
tfny	陈一丹
sjvy	叶子板
vjjk	赵孟頫
kkxw	不成功便成仁
fffh	爱爱爱
vmhf	身分证
phsc	电话号
sdkx	乐此不彼
xmdd	安全码
vqhw	梦幻诛仙
whwj	大事化小小事化了
wtdd	太阳石
yjfv	魔高一尺道高一丈
jnlw	颗粒度
csvk	心手相连
yflw	顺天府
xmks	工欲善其事必先利其器
hcrf	下必甚焉
flpf	五庄观
wbbj	大蜘蛛
mqfu	坐台女
cpcs	百花齐放百家争鸣
wjkt	值班表
rjhh	城门失火殃及池鱼
pttk	范跑跑
qgmk	黑涩会
vkhf	机不可失失不再来
dfmv	九型人格
pjdl	电子稿
ppvc	落花有意流水无情
nnjr	精舞门
hxyq	飞行岛
pgwx	观测值
sssg	咳咳咳
ftfx	万国来朝
ksgm	不鸣则已一鸣惊人
wlyd	狮驼岭
hjjw	评先选优
mjph	人非圣贤孰能无过
skbf	噬魂师
xfkl	攻无不克战无不胜
fslw	武器店
vkkj	雄纠纠气昂昂
ljdd	月亮石
lrkj	视而不见听而不闻
lpwx	自由作家
gvmr	召之即来挥之即去
ynkl	崭露头脚
wtvv	仙踪林
mkxw	舍不得孩子套不着狼
mdgx	人为刀俎我为鱼肉
gxlc	财富卡
yrkl	出其不意攻其不备
fxtk	一朝被蛇咬十年怕井绳
rvws	土木堡
fdfd	再接再砺
wmfk	仇人见面分外眼红
jkdm	毫不利己专门利人
pvmm	荆棘谷
cfkn	战无不胜攻无不克
mhcm	分久必合合久必分
nvbj	尺有所短寸有所长
hpld	丁薛祥
gbvy	涂鸦板
kvhh	规格书
nwnc	火凤燎原
mxyh	三十六计走为上计
pymd	若要人不知除非己莫为
mmlj	三个臭皮匠赛过诸葛亮
mkdf	人不为己天诛地灭
sfjh	唯女子与小人难养也
twhq	阿奎那
mlrk	银月城
jysg	靠山吃山靠水吃水
hxjc	张家长
wtkn	太阳井
rsmx	士别三日当刮目相待
nnyd	雷霆崖
xhjf	千军易得一将难求
nhbf	精诚所至金石为开
kvkd	善有善报恶有恶报
rfvf	志当存高远
gmyd	刀锋山
lkkr	上不着天下不着地
wlgc	大福源
kgjk	饱汉子不知饿汉子饥
sxkn	留得青山在不怕没柴烧
jmle	闰三月
kwmm	姜太公钓鱼愿者上钩
krgy	亲耐滴
wdfl	独此一家别无分店
ltjd	祖阿曼
jyrl	日出而作日入而息
mmgg	含含混混
pgfy	苦海无边回头是岸
mxfl	舍得一身剐敢把皇帝拉下马
tfgc	路遥知马力日久见人心
clfm	世上无难事只怕有心人
kptm	眼观四路耳听八方
mvhk	人之将死其言也善
fvkl	天有不测风云人有旦夕祸福
ggrj	流浪地球
krvw	二虎相斗必有一伤
qwjd	奥达曼
hvjx	失之毫厘差以千里
jhxm	严以律己宽以待人
fhkj	少壮不努力老大徒伤悲
lmlw	祸兮福所倚福兮祸所伏
btxs	送君千里终须一别
gvdg	知之为知之不知为不知
xshy	重峦迭嶂
kfhw	饿死事小失节事大
gxvm	海内存知己天涯若比邻
hrmx	北坡镇
kqlc	泰罗卡
khkt	不以规矩不成方圆
fhng	爱词霸
fhkx	好事不出门恶事行千里
tjfd	君子一言快马一鞭
fykr	一山不藏二虎
mxdj	人同此心心同此理
fgvd	无源之水无本之末
pjkl	平时不烧香急来抱佛脚
hhcf	读书百遍其义自见
fhvv	天下本无事庸人自扰之
qvvk	卧榻之旁岂容他人鼾睡
vwwp	树倒猢孙散
snwm	遗笑大方
hjng	丁子霖
nwwk	周大侠
jjwq	王子犯法庶民同罪
khgn	章北海
vrgd	杜志民
jxdp	明察秋毫不见舆薪
rggr	壹败涂地
bjtk	养儿防老积谷防饥
yvhp	言之谆谆听之藐藐
kkyt	版版六十四
mxgd	八字没见一撇
yrkb	老虎头上扑苍蝇
kxkx	不塞不流不止不行
mkfy	从善如登从恶如崩
wsxb	狗口里吐不出象牙
cfhm	百万买宅千万买邻
rwhx	其他事项
cndt	心烦气躁
khjx	差以毫厘失之千里
frky	无面目见江东父老
mvmt	既有今日何必当初
gxfr	汤里来水里去
bjbm	关门养虎虎大伤人
xkbd	十目所视十手所指
pkpw	干不干
nhnx	鼠须管
pfxr	燕雀安知鸿鹄志
xrvf	同声相应同气相求
kflh	静如处女动如脱兔
lksk	驱动盘
qdlw	能打胜仗
tkdq	降维打击
mrgd	全面深化改革
mjdx	三日打鱼两日晒网
bgjd	单则易折众则难摧
spsy	看菜吃饭量体裁衣
lkxf	福不重至祸必重来
sjjx	耳闻是虚眼观为实
mxfr	盆朝天碗朝地
hmsv	将欲取之必先与之
vjxv	树高千丈叶落归根
lnvp	七年之病求三年之艾
kqng	二向箔
dfdn	永无止尽
jynp	高鸟尽良弓藏
wjqh	佛是金装人是衣装
drhg	此而可忍孰不可忍
dswh	为中华之崛起而读书
fvmf	爱之欲其生恶之欲其死
sksj	喝不喝
sgsd	看没看
tptw	困难群体
xcmr	重点领域
sgsv	听没听
xkxc	巧不巧
knkq	决策部署
glfs	深度学习
xhgh	富强民主文明和谐
hbgd	北汽
yfln	要的
lgpm	上港
hdmm	我从
vjgv	李湘
tjcs	国战
kqgk	新能源车
tstf	回踩
sfgf	拜登
lcnb	卡尼
stmf	中国人民大学
hjxd	张翰
dddx	热控
tjxn	裸官
wddw	风投
ssrl	翼虎
ckvm	快男
ypdp	反抽
pdjy	艾瑞
sglr	亦庄
jklh	豪礼
vjtj	李阳
jfmk	球会
fxkv	两连
bbwl	比伯
